ticker name,start index,end index,price
APEX,2026-02-12,2026-02-23,419.95
AVANTIFEED,2026-02-12,2026-02-23,1355.6
BALKRISIND,2026-02-03,2026-02-12,2517.0
BLACKBUCK,2026-02-03,2026-02-12,599.9
EMIL,2026-02-09,2026-02-18,100.05
ENGINERSIN,2026-02-16,2026-02-25,219.8
JSFB,2026-02-09,2026-02-18,363.65
KALYANKJIL,2026-02-09,2026-02-18,405.7
MANINDS,2026-02-11,2026-02-20,432.75
PRECWIRE,2026-02-16,2026-02-25,302.37
RESPONIND,2026-02-03,2026-02-12,177.92
ROLEXRINGS,2026-02-11,2026-02-20,140.87
SHANTIGOLD,2026-02-09,2026-02-18,209.73
SKYGOLD,2026-02-12,2026-02-23,362.0
TI,2026-02-03,2026-02-12,442.35
WAKEFIT,2026-02-11,2026-02-20,194.05
